iter	Passed	Remaining
0	2	268
1	6	318
2	8	280
3	12	295
4	14	283
5	16	265
6	19	255
7	21	244
8	23	236
9	25	228
10	29	240
11	32	238
12	35	238
13	37	232
14	39	226
15	42	221
16	45	221
17	49	224
18	52	224
19	56	224
20	59	225
21	62	222
22	64	216
23	66	211
24	68	205
25	72	204
26	75	205
27	78	202
28	82	201
29	84	196
30	89	199
31	91	195
32	95	192
33	97	189
34	100	187
35	103	183
36	105	179
37	107	175
38	113	177
39	116	175
40	119	172
41	120	166
42	122	161
43	124	158
44	126	155
45	129	151
46	132	148
47	136	147
48	138	144
49	141	141
50	144	138
51	147	135
52	150	133
53	155	132
54	157	128
55	159	125
56	162	122
57	165	119
58	169	117
59	173	115
60	176	112
61	179	110
62	182	107
63	190	106
64	193	104
65	196	101
66	198	97
67	201	94
68	204	91
69	206	88
70	212	86
71	216	84
72	219	81
73	222	78
74	225	75
75	227	71
76	230	68
77	234	66
78	237	63
79	239	59
80	242	56
81	244	53
82	246	50
83	248	47
84	250	44
85	253	41
86	257	38
87	261	35
88	264	32
89	266	29
90	271	26
91	273	23
92	280	21
93	286	18
94	292	15
95	299	12
96	305	9
97	309	6
98	313	3
99	317	0
